Fecha,Factura,Monto en Factura,Monto Transferido,Diferencia,Numero de transferencia,Comision Banco Banesco,Comision Banco Controles,%nacionalizacion,Seguro y Nacionalizacion ,Sub Total,En cuenta,Descripcion,,,Revisar
07/03/2023,A-2113,"$32.784,76","$33.005,00","$220,24",3,"$160,50","$73,02","8,43%","$2.781,20","$35.799,48",,INVERSION INCIAL,,,Falta ser descontado
09/06/2023,A.2167,"$26.469,79","$23.435,29","-$3.034,51","0,5","$26,75",,"10,63%","$2.490,00","$28.986,54",,"Monto Compra sale de  Inversion Inicial de Sr Jose y Alberto
Falta descontar la nacionalizacion, pagada por Elevapartes se tiene que ver de donde se descuenta",,,
16/06/2023,A.2171,"$20.668,78","$23.435,29","$2.766,51","0,5","$26,75",,"10,30%","$2.414,61","$23.110,14",,"Monto Compra sale de  Inversion Inicial de Sr Jose y Alberto
Falta descontar la nacionalizacion, pagada por Elevapartes se tiene que ver de donde se descuenta",,,
27/06/2023,A2193 ,"$1.969,00","$2.000,00","$31,00","0,5","$26,75","$73,02","18,29%","$365,82","$2.434,59",,"Falta descontar compra, nacionalizacion y revisar comision banco que no se coloco en tabla ",,,
27/06/2023,A2195,"$1.969,00","$2.000,00","$31,00","0,5","$26,75","$73,02","18,26%","$365,27","$2.434,04",,"Falta descontar compra, nacionalizacion y revisar comision banco que no se coloco en tabla ",,,
17/11/2023,A2272,"$13.826,22","$13.900,00","$73,78",1,"$53,50","$73,02","13,53%","$1.880,83","$15.833,57",,"Falta descontar compra, nacionalizacion y revisar comision banco que no se coloco en tabla , ademas la nacionalizacion no es colocada colocar",,,
02/02/2024,A.2308,"$41.190,94","$41.300,00","$109,06",2,"$107,00","$86,00","7,59%","$3.134,60","$44.518,54",,"Falta descontar compra, nacionalizacion y revisar comision banco que no se coloco en tabla , ademas la nacionalizacion no es colocada colocar",,,
06/09/2024,A2667,"$68.778,37","$68.850,00","$71,63",1,"$53,50","$85,50","10,17%","$7.000,00","$75.917,37",,,"$127.156,16",,
19/05/2025,A-2802,"$30.393,17","$30.393,17","-$20,41",1,"$0,00","$0,00","23,68%","$7.195,73","$37.588,90",,"Le debemos a Controles 20,41USD",,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,Inversion inicial,"$82.723,55","$100,00",,,,,,,,,
,,,,En cuenta,"$190.930,14",,,,,,,,,,
,,,,En inventario,"$114.040,00",,,,,,,,,,
,,,,Total cuenta + inventario,"$304.970,14",,,,,,,,,,
,,,,,"368,66%",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,"$69.218,95","$207.656,86",,,,,,,,,,,,,
,,"3,68661814","1,920056806","0,9200568063","$304.970,14","""=""","$82.723,55",x ,(1+i)1,,,,,,
,,,,"92,01%",,,,,,,,,,,
,,,2da,"37234,49",,,,,,,,,,,
,,,3ra,"35191,35","1321,492677",,,,,,,,,,
,,,,"72425,84","1321,492677",,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,"1662,561021",,,,,,,,,
,,,,"957,4","35,10817748","2040,561021",,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,5,89,,,,,
,,,,,,,,,23,"409,4",,,,,
,,,,,,,,,,"2865,8",,,,,
,,,,,,,,,,,,,,,
,,,,"1284,575724",,,,,,,,,,,
,,,,"1964,575724",,,,,,,,,,,